dish_name,alternate_alias,cuisine_name,region,category,sub_category,main_ingredient_category,dietary_type,course,primary_protein,dish_importance_score,spice_level,sweet_score,salt_score,sour_score,bitter_score,umami_score,spicy_score,rich_fat_score,astringency_score,viscosity_score,crunchy_score,chewy_score,aromatic_score,funk_score,rating,ingredients,description,serving_temperature
Laksa Banjar,,Indonesian,Banjarese,Soup,Noodle Soup,Fish Dish,Pescatarian,Soup,Fish,5.3,Mild,1,6,2,1,7,2,4,1,4,1,2,6,3,,"rice-flour noodles, fish broth, coconut milk, shallot, garlic, turmeric, lemongrass, lime leaves",A South Kalimantan laksa with soft noodles and rich yellow broth.,hot
Laksa Betawi,,Indonesian,Betawi,Soup,Noodle Soup,Shrimp Dish,Pescatarian,Soup,Shrimp,5.3,Mild,1,6,2,1,7,2,5,1,6,1,2,6,5,,"rice vermicelli, coconut broth, dried shrimp, shallot, garlic, turmeric, lemongrass, lime leaves",A Jakarta laksa with creamy broth and noodles.,hot
Laksa Bogor,,Indonesian,Sundanese,Soup,Noodle Soup,Bean Dish,Vegan,Soup,Beans,5.3,Mild,1,6,2,1,7,2,3,2,4,1,2,6,3,,"rice vermicelli, oncom, bean sprouts, broth, shallot, garlic, turmeric, lemongrass, lime leaves",A Bogor-style laksa known for including oncom and aromatic broth.,hot
Laksan,,Indonesian,Palembangese,Main Dish,Fish Cake Dish,Fish Dish,Pescatarian,Main,Fish,4.4,Mild,1,6,2,1,7,2,5,1,7,2,3,6,3,,"fish cake, coconut curry gravy, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Sliced fish cakes served in a mild spiced coconut gravy.,room_temp
Lakso,,Indonesian,Palembangese,Soup,Noodle Soup,Fish Dish,Pescatarian,Soup,Fish,2.8,Mild,1,6,2,1,7,2,4,1,4,1,2,6,3,,"rice noodles, fish, coconut milk broth, shallot, garlic, turmeric, lemongrass, lime leaves",A Palembang rice-noodle dish with savory fish-flavored broth.,hot
Lawar,,Indonesian,Balinese,Side Dish,Salad,Nut Dish,Non-Veg,Salad,Mixed,2.1,Low,1,3,1,1,4,1,3,2,3,3,2,4,3,,"vegetables, coconut, minced meat, spices, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt","A Balinese mixed dish of vegetables, coconut, and often minced meat or blood.",cold
Lemang,,Indonesian,Malay-Indonesian,Side Dish,Rice Dish,Milk Dish,Veg,Side,Milk,2.1,Low,2,3,1,1,3,1,5,1,3,3,4,4,3,,"glutinous rice, coconut milk, bamboo, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt","Glutinous rice cooked with coconut milk inside bamboo, common in Malay and Minangkabau areas.",hot
Lemper,,Indonesian,Javanese,Snack,Rice Roll,Chicken Dish,Non-Veg,Snack,Chicken,2.6,Mild,1,4,2,1,6,3,4,1,3,5,4,5,3,,"glutinous rice, shredded chicken, banana leaf, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Sticky rice roll filled with seasoned chicken.,room_temp
Lontong,,Indonesian,Pan-Indonesian,Side Dish,Rice Cake,Rice Dish,Vegan,Side,Rice,3.4,Low,2,3,1,1,3,1,3,1,3,3,4,4,3,,"compressed rice, banana leaves, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt","A compact rice cake often sliced into soups, salads, and satay platters.",room_temp
Lotek,,Indonesian,Sundanese / Javanese,Appetizer,Salad,Nut Dish,Vegan,Appetizer,Nuts,2.6,Mild,1,4,3,1,4,2,3,2,4,3,2,5,3,,"blanched vegetables, peanut sauce, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A cooked-vegetable salad related to gado-gado and pecel.,cold
Lumpia Semarang,,Indonesian,Javanese,Snack,Spring Roll,Chicken Dish,Non-Veg,Snack,Chicken,6.0,Mild,1,4,2,1,6,3,4,1,3,7,2,5,3,,"wrapper, bamboo shoots, shrimp or chicken, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Semarang's famous spring roll with savory-sweet filling.,hot
Lupis,,Indonesian,Javanese,Dessert,Rice Cake,Rice Dessert,Vegan,Dessert,Rice,4.0,Low,8,2,1,1,1,1,5,1,5,2,5,5,3,,"glutinous rice, grated coconut, palm sugar, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Triangular sticky rice cakes served with coconut and syrup.,room_temp
Mangut Lele,,Indonesian,Central Javanese,Main Dish,Fish Dish,Fish Dish,Pescatarian,Main,Fish,5.6,Very Hot,1,6,2,2,8,9,6,1,6,2,3,6,3,,"smoked catfish, coconut milk, chilies, shallot, garlic, sweet soy sauce, vegetable oil, salt",A Central Javanese dish of smoked catfish in spicy coconut gravy.,hot
Marak,,Indonesian,Arab-Indonesian,Soup,Meat Soup,Lamb Dish,Non-Veg,Soup,Lamb,2.8,Mild,1,6,2,1,7,2,4,1,4,1,1,6,2,,"goat meat, pumpkin, spices, broth, shallot, garlic, turmeric, lemongrass, lime leaves",An Arab-Indonesian meat dish with pumpkin and warming spices.,hot
Martabak Manis,Terang Bulan,Indonesian,Pan-Indonesian,Dessert,Pancake,Cheese Dish,Veg,Dessert,Cheese,6.3,Low,9,4,1,4,2,1,8,2,6,4,2,5,2,,"sweet batter, chocolate, peanuts, cheese, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A thick griddled sweet pancake folded around rich toppings.,hot
Martabak Telur,,Indonesian,Pan-Indonesian,Snack,Stuffed Pastry,Egg Dish,Non-Veg,Snack,Egg,6.2,Mild,1,4,2,1,5,3,6,1,3,9,3,6,3,,"thin pastry, egg, minced meat, scallions, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A savory stuffed flatbread fried until crisp.,room_temp
Mie Aceh,,Indonesian,Acehnese,Main Dish,Noodle Dish,Beef Dish,Non-Veg,Main,Beef,5.6,Medium,1,6,2,1,9,6,6,1,7,3,4,6,3,,"thick noodles, curry spices, beef or seafood, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt","Aceh's bold, spicy noodle dish influenced by Indian and Middle Eastern flavors.",hot
Mie Ayam,,Indonesian,Pan-Indonesian,Main Dish,Noodle Dish,Chicken Dish,Non-Veg,Main,Chicken,5.6,Mild,1,6,2,1,8,3,5,1,5,3,4,6,3,,"egg noodles, seasoned chicken, greens, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A common noodle bowl topped with savory diced chicken.,hot
Mie Celor,,Indonesian,Palembangese,Main Dish,Noodle Dish,Shrimp Dish,Pescatarian,Soup,Shrimp,3.1,Mild,1,6,2,1,9,3,8,1,7,3,4,6,3,,"noodles, coconut milk broth, shrimp, egg, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Palembang noodle dish served in a creamy savory broth.,hot
Mie Gomak,,Indonesian,Batak,Main Dish,Noodle Dish,Wheat Dish,Vegan,Main,Wheat,5.6,Mild,1,6,2,1,7,3,5,1,7,3,4,6,3,,"thick noodles, coconut sauce, spices, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Batak noodle dish sometimes called Batak spaghetti.,hot
Mie Kocok,,Indonesian,Sundanese,Soup,Noodle Soup,Beef Dish,Non-Veg,Soup,Beef,2.8,Mild,1,6,2,1,8,2,4,2,4,1,2,6,3,,"noodles, beef, bean sprouts, broth, shallot, garlic, turmeric, lemongrass, lime leaves","A Bandung noodle soup often featuring beef, tendons, and bean sprouts.",hot
Mie Titi,,Indonesian,Makassarese,Main Dish,Noodle Dish,Seafood Dish,Non-Veg,Main,Seafood,5.6,Mild,1,6,2,1,9,3,7,1,8,8,4,6,3,,"fried noodles, seafood or meat, gravy, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Makassar-style crunchy fried noodles served with thick savory sauce.,hot
Model,,Indonesian,Palembangese,Soup,Fish Soup,Fish Dish,Pescatarian,Soup,Fish,2.8,Mild,1,6,2,1,7,2,5,1,5,5,1,6,2,,"fried tofu stuffed with fish paste, broth, shallot, garlic, turmeric, lemongrass, lime leaves",A Palembang fish-and-tofu soup related to pempek traditions.,hot
Mun Tahu,,Indonesian,Chinese-Indonesian,Main Dish,Tofu Dish,Chicken Dish,Non-Veg,Main,Chicken,5.6,Mild,1,6,2,1,9,3,5,1,6,2,3,6,2,,"soft tofu, minced chicken, shrimp, sauce, shallot, garlic, chili, vegetable oil, salt",Soft tofu braised with minced meat and seafood in a savory sauce.,hot
Naniura,,Indonesian,Batak,Appetizer,Fish Dish,Fish Dish,Pescatarian,Appetizer,Fish,2.6,Mild,1,5,4,1,5,2,3,3,4,4,2,5,3,,"raw freshwater fish, andaliman, citrus, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Batak-style cured fish dish often compared to a local ceviche.,hot
Nasi Campur,,Indonesian,Pan-Indonesian,Main Dish,Rice Plate,Rice Dish,Vegan,Main,Rice,5.6,Mild,1,6,2,1,7,3,5,1,5,2,3,6,3,,"rice, assorted side dishes, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A mixed-rice meal served with small portions of multiple accompaniments.,hot
Nasi Campur Bali,,Indonesian,Balinese,Main Dish,Rice Plate,Rice Dish,Non-Veg,Main,Rice,3.1,Mild,1,6,2,1,7,3,5,1,5,2,3,6,3,,"rice, lawar, satay, vegetables, meat, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Balinese mixed-rice plate with a variety of small side dishes.,hot
Nasi Gandul,,Indonesian,Javanese,Main Dish,Rice Dish,Beef Dish,Non-Veg,Soup,Beef,5.6,Mild,2,6,2,1,9,3,6,1,6,2,3,6,3,,"rice, beef, sweet savory broth, spices, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Central Javanese rice dish served with lightly sweet beef stew.,hot
Nasi Goreng,,Indonesian,Pan-Indonesian,Main Dish,Rice Dish,Chicken Dish,Non-Veg,Main,Chicken,7.4,Mild,1,6,2,1,9,3,6,1,6,6,3,7,3,,"rice, sweet soy sauce, garlic, shallots, egg, chicken or shrimp, chili, vegetable oil, salt","Indonesia's iconic fried rice, typically seasoned with kecap manis and served with egg and pickles.",hot
Nasi Goreng Jawa,,Indonesian,Javanese,Main Dish,Rice Dish,Rice Dish,Vegan,Main,Rice,7.5,Medium,1,6,2,1,8,4,6,1,6,6,3,6,3,,"rice, sweet soy sauce, chili, aromatics, shallot, garlic, vegetable oil, salt",A Javanese-style fried rice with sweet and savory seasoning.,hot
Nasi Goreng Kambing,,Indonesian,Betawi,Main Dish,Rice Dish,Lamb Dish,Non-Veg,Main,Lamb,7.5,Mild,1,6,2,1,9,3,7,1,5,6,3,6,3,,"rice, goat meat, ghee, spices, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt","Jakarta-style fried rice flavored with mutton, spices, and ghee.",hot
Nasi Gurih,,Indonesian,Acehnese,Main Dish,Rice Dish,Milk Dish,Veg,Main,Milk,5.6,Mild,1,6,3,1,7,2,6,1,5,2,3,6,3,,"rice, coconut milk, lemongrass, pandan, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Acehnese savory coconut rice with fragrant herbs.,hot
Nasi Jamblang,,Indonesian,Cirebonese,Main Dish,Rice Plate,Rice Dish,Vegan,Main,Rice,5.6,Mild,2,6,2,1,7,3,5,1,5,2,3,6,3,,"rice, assorted side dishes, banana leaf, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Cirebon rice meal traditionally wrapped and served with many side dishes.,room_temp
Nasi Jinggo,,Indonesian,Balinese,Main Dish,Rice Packet,Rice Dish,Non-Veg,Main,Rice,6.6,Medium,1,6,2,1,7,4,5,1,5,2,4,6,3,,"rice, sambal, shredded meat, noodles, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A small banana-leaf rice packet popular as a quick Balinese meal.,hot
Nasi Kapau,,Indonesian,Minangkabau,Main Dish,Rice Plate,Rice Dish,Vegan,Main,Rice,3.1,Mild,1,6,2,1,7,3,5,1,6,2,3,6,3,,"rice, curries, jackfruit curry, meats, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Bukittinggi-region rice meal with rich Minangkabau side dishes.,hot
Nasi Krawu,,Indonesian,East Javanese,Main Dish,Rice Plate,Beef Dish,Non-Veg,Main,Beef,5.6,Hot,1,6,2,1,9,6,6,1,5,4,3,6,3,,"rice, shredded beef, serundeng, sambal, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt","A Gresik rice dish with shredded beef, coconut topping, and spicy sambal.",hot
Nasi Kuning,,Indonesian,Pan-Indonesian,Main Dish,Rice Dish,Milk Dish,Veg,Main,Milk,3.1,Mild,1,6,2,2,7,2,6,1,5,2,3,6,3,,"turmeric rice, coconut milk, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Fragrant yellow rice often served at celebrations with side dishes.,hot
Nasi Liwet,,Indonesian,Javanese,Main Dish,Rice Dish,Milk Dish,Veg,Main,Milk,5.6,Mild,1,6,4,1,7,2,6,1,5,2,3,6,3,,"rice, coconut milk, salam leaf, lemongrass, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A savory rice dish cooked with coconut milk and aromatics.,hot
Nasi Megono,,Indonesian,Central Javanese,Main Dish,Rice Plate,Rice Dish,Vegan,Main,Rice,5.6,Mild,1,6,2,1,7,3,5,1,5,2,3,6,3,,"rice, young jackfruit, coconut, spices, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Pekalongan-area rice dish topped with seasoned young jackfruit.,hot
Nasi Padang,,Indonesian,Minangkabau,Main Dish,Rice Plate,Rice Dish,Vegan,Main,Rice,5.6,Mild,1,6,2,1,7,3,5,1,5,2,3,6,3,,"rice, assorted Padang side dishes, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Padang-style meal of steamed rice served with a wide assortment of Minangkabau dishes.,hot
Nasi Pecel,,Indonesian,Javanese,Main Dish,Rice Plate,Rice Dish,Vegan,Main,Rice,5.6,Mild,1,6,2,1,7,3,4,2,6,2,3,6,3,,"rice, blanched vegetables, peanut sauce, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Rice served with pecel vegetables and peanut sauce.,hot
Nasi Timbel,,Indonesian,Sundanese,Main Dish,Rice Dish,Rice Dish,Vegan,Main,Rice,5.6,Mild,1,6,2,1,7,3,5,1,5,2,3,6,3,,"rice wrapped in banana leaves, side dishes, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Steamed rice wrapped in banana leaves and served with Sundanese accompaniments.,hot
Nasi Tutug Oncom,,Indonesian,Sundanese,Main Dish,Rice Dish,Rice Dish,Vegan,Main,Rice,5.6,Mild,1,6,2,2,7,3,5,1,5,4,3,6,3,,"rice, roasted oncom, seasonings, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A West Javan rice dish mixed with seasoned oncom.,hot
Oncom,,Indonesian,Sundanese,Side Dish,Fermented Food,Bean Dish,Vegan,Side,Beans,2.1,Low,1,3,2,1,3,1,3,2,3,3,2,4,5,,"fermented bean cake, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A West Javan fermented food made from soy or peanut by-products.,hot
Onde-Onde,,Indonesian,Chinese-Indonesian / Javanese,Dessert,Pastry,Nut Dish,Vegan,Dessert,Nuts,4.0,Low,8,2,1,1,1,1,6,2,5,6,3,5,3,,"glutinous dough, mung bean paste, sesame, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A sesame-coated fried pastry with sweet filling.,room_temp
Opor Ayam,,Indonesian,Javanese,Main Dish,Curry,Chicken Dish,Non-Veg,Main,Chicken,5.6,Mild,1,6,3,1,8,3,6,2,6,2,3,6,3,,"chicken, coconut milk, lemongrass, spices, shallot, garlic, galangal, turmeric, chili, shrimp paste",A gentle coconut-braised chicken often eaten during festive occasions.,hot
Oseng Mercon,,Indonesian,Yogyakartan,Main Dish,Beef Dish,Beef Dish,Non-Veg,Main,Beef,5.6,Very Hot,1,6,2,1,9,10,5,1,6,2,3,6,3,,"beef, chilies, sweet soy sauce, shallot, garlic, vegetable oil, salt",A very spicy Yogyakarta stir-fry of beef and chilies.,hot
Pallubasa,,Indonesian,Makassarese,Soup,Beef Soup,Beef Dish,Non-Veg,Soup,Beef,2.8,Mild,1,6,2,1,8,2,5,1,4,1,1,6,4,,"beef, offal, coconut, spices, broth, shallot, garlic, turmeric, lemongrass, lime leaves","A Makassar beef-and-offal soup related to coto, often richer and creamier.",hot
Papeda,,Indonesian,Papuan / Maluku,Main Dish,Porridge,Rice Dish,Vegan,Main,Rice,6.6,Mild,1,6,2,1,7,2,4,1,6,2,3,6,3,,"sago starch, water, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A gelatinous sago porridge served as a staple in eastern Indonesia.,hot
Pastel,,Indonesian,Pan-Indonesian,Snack,Pastry,Egg Dish,Veg,Snack,Egg,3.9,Mild,1,4,2,1,4,3,5,1,4,8,2,5,3,,"pastry shell, vegetables, egg, vermicelli, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A half-moon fried pastry with savory filling.,room_temp
Pastel Tutup,,Indonesian,Dutch-Indonesian,Main Dish,Baked Dish,Potato Dish,Non-Veg,Main,Potatoes,5.6,Mild,1,6,2,1,7,3,5,1,6,2,3,6,3,,"mashed potato, minced meat, vegetables, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",An Indonesian baked potato casserole influenced by Dutch cooking.,hot
Pecel,,Indonesian,Javanese,Appetizer,Salad,Nut Dish,Vegan,Appetizer,Nuts,2.6,Mild,1,4,3,1,4,2,3,2,4,3,2,5,3,,"blanched vegetables, peanut sauce, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Javanese vegetable dish dressed with seasoned peanut sauce.,cold
Pempek,,Indonesian,Palembangese,Snack,Fish Cake,Fish Dish,Pescatarian,Snack,Fish,6.6,Medium,1,4,3,1,5,5,4,1,5,5,2,5,3,,"fish paste, tapioca, cuko sauce, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Palembang's famous fish cake served with sweet-sour spicy cuko sauce.,room_temp
Pendap,,Indonesian,Bengkulu / Malay,Main Dish,Fish Dish,Fish Dish,Pescatarian,Main,Fish,5.6,Hot,1,6,2,1,8,6,5,1,6,2,3,6,3,,"fish, coconut, chili, taro leaves, shallot, garlic, sweet soy sauce, vegetable oil, salt",Fish wrapped with spicy coconut paste in leaves and slow-cooked.,hot
Perkedel,,Indonesian,Pan-Indonesian,Snack,Fritter,Egg Dish,Veg,Snack,Egg,6.5,Mild,1,4,2,1,4,3,4,1,3,5,2,5,3,,"mashed potato, egg, spices, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",An Indonesian potato fritter often served as a side dish.,hot
Perkedel Jagung,Bakwan Jagung,Indonesian,Pan-Indonesian,Snack,Fritter,Wheat Dish,Vegan,Snack,Wheat,2.6,Mild,1,4,2,1,4,3,5,1,3,8,3,6,3,,"corn, flour, scallions, spices, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Corn fritters fried until crisp on the edges.,hot
Pindang Patin,,Indonesian,Palembangese,Soup,Fish Soup,Fish Dish,Pescatarian,Soup,Fish,2.8,Medium,1,6,4,1,8,5,3,3,4,1,1,6,3,,"catfish, tamarind, pineapple, spices, broth, shallot, garlic, turmeric, lemongrass, lime leaves",A sour-spicy Palembang catfish soup.,hot
Pisang Epe,,Indonesian,Makassarese,Dessert,Grilled Dessert,Fruit Dessert,Vegan,Dessert,Fruit,4.0,Low,9,2,1,2,1,1,5,1,6,2,2,5,3,,"grilled banana, palm sugar sauce, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Makassar dessert of pressed grilled banana served with syrup.,hot
Plecing Kangkung,,Indonesian,Lombok / Sasak,Side Dish,Vegetable Dish,Vegetable Dish,Vegan,Side,Vegetables,2.1,Medium,1,3,3,2,4,6,3,3,3,3,2,5,3,,"water spinach, sambal, tomato, lime, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Lombok vegetable dish of blanched water spinach with hot sambal.,hot
Putu Ayu,,Indonesian,Pan-Indonesian,Dessert,Steamed Cake,Wheat Dish,Vegan,Dessert,Wheat,4.0,Low,8,2,1,1,1,1,5,1,5,2,2,5,3,,"flour, coconut, pandan, sugar, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A steamed pandan cake topped with coconut.,hot
Rawon,,Indonesian,East Javanese,Soup,Beef Soup,Beef Dish,Non-Veg,Soup,Beef,2.8,Mild,1,6,2,1,8,2,5,2,4,3,1,6,2,,"beef, keluak, broth, bean sprouts, shallot, garlic, turmeric, lemongrass, lime leaves",A dark East Javanese beef soup colored and flavored with keluak nuts.,hot
Rendang,,Indonesian,Minangkabau,Main Dish,Stew,Beef Dish,Non-Veg,Soup,Beef,9.6,Medium,1,6,3,1,9,5,7,2,6,2,3,7,3,,"beef, coconut milk, chili, galangal, lemongrass, spices, shallot, garlic, sweet soy sauce, vegetable oil, salt",A slow-cooked Minangkabau beef dish simmered in coconut milk and spices until deeply concentrated.,hot
Rica-Rica,,Indonesian,Minahasan,Main Dish,Spiced Dish,Seafood Dish,Non-Veg,Main,Seafood,5.6,Hot,1,6,3,1,9,8,4,1,6,2,3,6,3,,"meat or seafood, red chilies, aromatics, shallot, garlic, sweet soy sauce, vegetable oil, salt",A fiery North Sulawesi preparation built around fresh chili paste.,hot
Risoles,,Indonesian,Dutch-Indonesian,Snack,Crepe Roll,Wheat Dish,Pescatarian,Snack,Wheat,2.6,Mild,1,4,2,1,5,3,5,1,3,8,2,5,3,,"crepe wrapper, ragout filling, breadcrumbs, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A breaded stuffed crepe roll fried until golden.,hot
Roti Canai,,Indonesian,Malay / Indian-Indonesian,Bread,Flatbread,Milk Dish,Veg,Side,Milk,5.4,Low,1,3,1,1,3,1,5,1,4,3,3,4,3,,"flour, ghee, water, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A flaky flatbread widely eaten with curry in Malay-influenced parts of Indonesia.,hot
Roti Cane Maryam,Roti Maryam,Indonesian,Arab-Indonesian,Bread,Flatbread,Milk Dish,Veg,Side,Milk,2.1,Low,1,3,1,1,3,1,5,1,4,3,3,4,3,,"flour, butter, condensed milk or curry accompaniments, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A flaky layered flatbread common in Arab-Indonesian communities.,hot
Rujak Cingur,,Indonesian,East Javanese,Appetizer,Salad,Fruit Dish,Non-Veg,Appetizer,Fruit,6.2,Mild,1,4,3,1,6,2,4,2,4,3,2,5,3,,"vegetables, fruit, cow snout, petis sauce, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt","A Surabaya specialty combining fruit, vegetables, and cingur with dark sauce.",cold
Saksang,,Indonesian,Batak,Main Dish,Meat Stew,Pork Dish,Non-Veg,Soup,Pork,5.6,Mild,1,6,2,1,9,3,7,2,7,2,3,6,3,,"pork or buffalo, blood, coconut milk, andaliman, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A richly seasoned Batak meat dish cooked with blood and spices.,hot
Sambal Dabu-Dabu,,Indonesian,Minahasan,Side Dish,Condiment,Vegetable Dish,Vegan,Side,Vegetables,5.7,Hot,1,3,4,1,4,8,2,2,3,3,2,5,3,,"chilies, tomato, shallot, lime, garlic, sweet soy sauce, vegetable oil, salt","A North Sulawesi fresh chili relish, bright and citrusy.",room_temp
Sambal Matah,,Indonesian,Balinese,Side Dish,Condiment,Fruit Dish,Vegan,Side,Fruit,5.7,Medium,1,3,4,1,3,6,2,1,3,4,2,6,3,,"shallots, lemongrass, chili, lime, garlic, sweet soy sauce, vegetable oil, salt",A raw Balinese sambal made with sliced aromatics.,room_temp
Samosa,,Indonesian,Malay-Indonesian,Street Food,Pastry,Potato Dish,Vegan,Snack,Potatoes,7.0,Mild,1,4,2,1,4,3,4,1,4,5,3,5,3,,"pastry, potato or curry filling, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A local adaptation of samosa found in Malay and Indian-Indonesian communities.,room_temp
Sapo Tahu,,Indonesian,Chinese-Indonesian,Main Dish,Tofu Dish,Seafood Dish,Non-Veg,Main,Seafood,5.6,Mild,1,6,2,1,9,3,5,1,6,2,3,6,3,,"tofu, vegetables, seafood or meat, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A claypot-style tofu dish with vegetables and savory sauce.,hot
Satay,Sate,Indonesian,Pan-Indonesian,Main Dish,Skewer,Nut Dish,Non-Veg,Main,Nuts,7.4,Mild,1,6,2,2,8,3,5,2,6,2,3,6,3,,"skewered meat, spices, peanut sauce or soy dressing, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Skewered and grilled meat served with regionally varied sauces and accompaniments.,hot
Sate Bulayak,,Indonesian,Lombok / Sasak,Main Dish,Skewer,Rice Dish,Non-Veg,Main,Rice,7.2,Mild,1,6,2,2,8,3,5,2,6,2,3,6,3,,"satay, coconut-peanut sauce, bulayak rice cakes, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Lombok satay served with spiral rice cakes called bulayak.,hot
Sate Buntel,,Indonesian,Central Javanese,Bread,Skewer,Lamb Dish,Non-Veg,Side,Lamb,6.2,Low,1,3,1,2,6,1,4,1,3,3,2,4,3,,"minced lamb, caul fat, spices, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Solo satay made from minced meat wrapped in fat.,hot
Sate Klathak,,Indonesian,Yogyakartan,Main Dish,Skewer,Lamb Dish,Non-Veg,Main,Lamb,7.2,Medium,1,6,2,2,9,4,6,1,5,3,3,6,3,,"goat meat, salt, pepper, shallot, garlic, chili, sweet soy sauce, vegetable oil",A minimalist Yogyakarta goat satay grilled on metal skewers.,hot
Sate Lilit,,Indonesian,Balinese,Main Dish,Skewer,Fish Dish,Non-Veg,Main,Fish,7.2,Mild,1,6,3,2,8,3,5,1,5,2,3,7,3,,"minced fish or meat, coconut, lemongrass, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",Balinese satay made from minced seasoned meat wrapped around skewers.,hot
Sate Madura,,Indonesian,Madurese,Main Dish,Skewer,Chicken Dish,Non-Veg,Main,Chicken,7.5,Mild,1,6,2,2,8,3,5,2,6,2,3,6,3,,"chicken, peanut sauce, sweet soy, shallot, garlic, chili, vegetable oil, salt",A widely popular satay style associated with Madura.,hot
Sate Maranggi,,Indonesian,Sundanese,Main Dish,Skewer,Beef Dish,Non-Veg,Main,Beef,7.2,Mild,1,6,2,2,8,3,6,1,6,2,3,6,3,,"beef, coriander, sweet marinade, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A West Javan satay known for its marinade rather than peanut sauce.,hot
Sate Matang,,Indonesian,Acehnese,Main Dish,Skewer,Beef Dish,Non-Veg,Main,Beef,7.2,Mild,1,6,2,2,9,3,6,2,6,3,3,6,3,,"beef or goat, peanut sauce, rice cakes, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",An Acehnese satay style often served with a savory dipping sauce.,hot
Sate Padang,,Indonesian,Minangkabau,Main Dish,Skewer,Beef Dish,Non-Veg,Main,Beef,7.2,Medium,1,6,2,2,8,5,6,1,6,2,3,6,4,,"beef, offal, thick spicy sauce, shallot, garlic, chili, sweet soy sauce, vegetable oil, salt",A Padang satay served with thick yellow spiced sauce.,hot
Sate Rembiga,,Indonesian,Lombok / Sasak,Main Dish,Skewer,Beef Dish,Non-Veg,Main,Beef,7.2,Hot,1,6,2,2,8,8,6,1,5,2,3,6,3,,"beef, chili, garlic, palm sugar, shallot, sweet soy sauce, vegetable oil, salt",A spicy beef satay associated with Lombok.,hot
Sate Taichan,,Indonesian,Jakartan,Main Dish,Skewer,Chicken Dish,Non-Veg,Main,Chicken,7.2,Hot,1,6,3,2,8,8,4,1,6,2,3,6,3,,"chicken, chili sambal, lime, shallot, garlic, sweet soy sauce, vegetable oil, salt",A modern Jakarta satay style emphasizing chili and lime over sweet sauce.,hot
