dish_name,alternate_alias,cuisine_name,region,category,sub_category,main_ingredient_category,dietary_type,course,primary_protein,dish_importance_score,spice_level,sweet_score,salt_score,sour_score,bitter_score,umami_score,spicy_score,rich_fat_score,astringency_score,viscosity_score,crunchy_score,chewy_score,aromatic_score,funk_score,rating,ingredients,description
Panada,,Italian,Sardinia,Main Dish,Savory Pie,Lamb Dish,Non-Veg,Main,Lamb,4.2,Mild,1,6,2,1,8,3,6,1,5,2,3,6,1,,"pastry, lamb or eel, potatoes, olive oil, garlic, salt, black pepper, parmesan","Panada is a traditional Sardinia Italian savory pie typically made with pastry, lamb or eel, potatoes."
Pandolce genovese,,Italian,Liguria,Bread,Bread,Wheat Dish,Vegan,Side,Wheat,3.8,Low,9,2,1,1,1,1,6,1,5,4,3,5,1,,"flour, raisins, pine nuts, candied fruit, olive oil, garlic, salt, black pepper, parmesan","Pandolce genovese is a traditional Liguria Italian dessert typically prepared with flour, raisins, pine nuts, candied fruit."
Pandoro,,Italian,Veneto,Bread,Bread,Egg Dish,Veg,Side,Egg,3.8,Low,9,2,1,1,1,1,6,1,5,2,3,5,1,,"flour, butter, eggs, sugar, olive oil, garlic, salt, black pepper, parmesan","Pandoro is a traditional Veneto Italian dessert typically prepared with flour, butter, eggs, sugar."
Pane carasau,,Italian,Sardinia,Bread,Crisp Flatbread,Wheat Dish,Vegan,Side,Wheat,2.0,Low,1,3,1,1,3,1,3,1,3,4,4,4,1,,"semolina, water, yeast, salt, bread flour, olive oil","Pane carasau is a traditional Sardinia Italian bread or baked dough specialty made with semolina, water, yeast, salt."
Pane cunzato,,Italian,Sicily,Bread,Seasoned Bread,Cheese Dish,Pescatarian,Side,Cheese,2.0,Low,1,4,1,2,7,1,7,2,3,3,3,4,5,,"bread, olive oil, tomatoes, anchovies, cheese, garlic, salt, black pepper, parmesan","Pane cunzato is a traditional Sicily Italian bread or baked dough specialty made with bread, olive oil, tomatoes, anchovies, cheese."
Pane frattau,,Italian,Sardinia,Bread,Layered Bread Dish,Egg Dish,Veg,Side,Egg,4.8,Low,1,4,1,1,4,1,3,2,4,3,3,5,4,,"pane carasau, tomato sauce, egg, pecorino, olive oil, garlic, salt, black pepper, parmesan","Pane frattau is a traditional Sardinia Italian layered bread dish typically made with pane carasau, tomato sauce, egg, pecorino."
Panelle,,Italian,Sicily,Appetizer,Chickpea Fritter,Chickpea Dish,Vegan,Appetizer,Chickpeas,2.5,Mild,1,4,2,2,4,2,4,2,3,3,2,6,1,,"chickpea flour, parsley, oil, garlic, salt, black pepper, parmesan","Panelle is a traditional Sicily Italian appetizer typically prepared with chickpea flour, parsley, oil."
Panettone,,Italian,Lombardy,Bread,Bread,Egg Dish,Veg,Side,Egg,3.8,Low,9,2,1,1,1,1,6,1,5,2,3,5,1,,"flour, butter, eggs, candied fruit, olive oil, garlic, salt, black pepper, parmesan","Panettone is a traditional Lombardy Italian dessert typically prepared with flour, butter, eggs, candied fruit."
Panforte,,Italian,Tuscany,Dessert,Spiced Fruit Cake,Nut Dish,Vegan,Dessert,Nuts,3.8,Low,8,2,1,1,1,1,6,1,5,4,2,5,1,,"nuts, candied fruit, honey, spices, olive oil, garlic, salt, black pepper, parmesan","Panforte is a traditional Tuscany Italian dessert typically prepared with nuts, candied fruit, honey, spices."
Pani câ meusa,Pane con la milza,Italian,Sicily,Main Dish,Offal Sandwich,Wheat Dish,Vegan,Main,Wheat,5.8,Mild,1,6,2,1,7,3,5,1,5,4,4,6,1,,"bread roll, spleen, lung, caciocavallo, olive oil, garlic, salt, black pepper, parmesan","Pani câ meusa is a traditional Sicily Italian offal sandwich typically made with bread roll, spleen, lung, caciocavallo."
Panissa ligure,,Italian,Liguria,Appetizer,Chickpea Cake,Chickpea Dish,Vegan,Appetizer,Chickpeas,3.7,Mild,1,5,2,1,4,2,3,3,3,3,2,5,1,,"chickpea flour, water, salt, olive oil, garlic, black pepper, parmesan","Panissa ligure is a traditional Liguria Italian appetizer typically prepared with chickpea flour, water, salt."
Panissa vercellese,,Italian,Piedmont,Main Dish,Rice and Bean Dish,Pork Dish,Non-Veg,Main,Pork,5.8,Mild,1,6,2,1,8,3,6,2,5,2,3,6,4,,"rice, beans, salami, onion, wine, olive oil, garlic, salt, black pepper, parmesan","Panissa vercellese is a traditional Piedmont Italian rice and bean dish typically made with rice, beans, salami, onion, wine."
Panna cotta,,Italian,Piedmont,Dessert,Cream Pudding,Milk Dish,Veg,Dessert,Milk,6.7,Low,9,2,1,1,1,1,7,1,7,2,2,5,1,,"cream, sugar, gelatin, vanilla, olive oil, garlic, salt, black pepper, parmesan","Panna cotta is a traditional Piedmont Italian dessert typically prepared with cream, sugar, gelatin, vanilla."
Panpepato ferrarese,,Italian,Emilia-Romagna,Dessert,Spiced Cake,Nut Dish,Pescatarian,Dessert,Nuts,3.8,Low,8,2,1,6,1,1,6,1,5,4,2,5,1,,"nuts, cocoa, spices, candied peel, olive oil, garlic, salt, black pepper, parmesan","Panpepato ferrarese is a traditional Emilia-Romagna Italian dessert typically prepared with nuts, cocoa, spices, candied peel."
Pansoti con salsa di noci,,Italian,Liguria,Appetizer,Stuffed Pasta,Nut Dish,Veg,Appetizer,Nuts,5.3,Mild,1,4,2,2,5,2,4,2,4,3,3,5,2,,"pansoti, herbs, ricotta, walnut sauce, pasta, olive oil, garlic, parmesan cheese, salt, black pepper","Pansoti con salsa di noci is a traditional Liguria Italian stuffed pasta typically made with pansoti, herbs, ricotta, walnut sauce."
Panzanella,,Italian,Tuscany,Appetizer,Bread Salad,Wheat Dish,Vegan,Appetizer,Wheat,2.5,Mild,1,4,3,2,6,2,5,2,3,3,3,7,1,,"bread, tomatoes, onions, basil, olive oil, garlic, salt, black pepper, parmesan","Panzanella is a traditional Tuscany Italian appetizer typically prepared with bread, tomatoes, onions, basil, olive oil."
Panzerotto,Panzerotti pugliesi,Italian,Puglia,Appetizer,Fried Turnover,Cheese Dish,Veg,Appetizer,Cheese,2.5,Mild,1,5,2,1,7,2,7,2,3,7,2,5,2,,"dough, tomato, mozzarella, olive oil, garlic, salt, black pepper, parmesan","Panzerotto is a traditional Puglia Italian appetizer typically prepared with dough, tomato, mozzarella."
Pappa al pomodoro,,Italian,Tuscany,Soup,Bread and Tomato Soup,Wheat Dish,Vegan,Soup,Wheat,2.7,Mild,1,6,2,1,8,2,3,2,4,1,2,7,1,,"bread, tomatoes, garlic, basil, olive oil, onion, celery, carrot, broth, parmesan rind","Pappa al pomodoro is a traditional Tuscany Italian soup or brothy dish made with bread, tomatoes, garlic, basil."
Pardulas,,Italian,Sardinia,Dessert,Ricotta Tart,Fruit Dish,Veg,Dessert,Fruit,3.8,Low,7,4,2,1,2,1,7,1,5,2,2,5,2,,"pastry, ricotta, saffron, lemon, olive oil, garlic, salt, black pepper, parmesan","Pardulas is a traditional Sardinia Italian dessert typically prepared with pastry, ricotta, saffron, lemon."
Parmigiana di melanzane,Melanzane alla parmigiana,Italian,Campania,Main Dish,Baked Casserole,Cheese Dish,Veg,Main,Cheese,7.2,Mild,1,6,2,3,9,3,5,3,6,2,3,6,4,,"eggplant, tomato sauce, mozzarella, parmesan, olive oil, garlic, salt, black pepper","Parmigiana di melanzane is a traditional Campania Italian baked casserole typically made with eggplant, tomato sauce, mozzarella, parmesan."
Parrozzo,,Italian,Abruzzo,Dessert,Semolina Cake,Nut Dish,Vegan,Dessert,Nuts,3.8,Low,8,2,1,2,1,1,6,2,5,2,2,5,1,,"semolina, almonds, chocolate, olive oil, garlic, salt, black pepper, parmesan","Parrozzo is a traditional Abruzzo Italian dessert typically prepared with semolina, almonds, chocolate."
Passatelli in brodo,,Italian,Emilia-Romagna,Soup,Bread Pasta Soup,Egg Dish,Veg,Soup,Egg,5.5,Mild,1,8,2,1,9,2,4,1,4,1,3,6,4,,"breadcrumbs, parmesan, eggs, broth, olive oil, garlic, onion, celery, carrot","Passatelli in brodo is a traditional Emilia-Romagna Italian soup or brothy dish made with breadcrumbs, parmesan, eggs, broth."
Pasta 'ncasciata,,Italian,Sicily,Main Dish,Baked Pasta,Cheese Dish,Veg,Main,Cheese,5.8,Mild,1,6,2,3,9,3,6,2,5,2,4,6,2,,"pasta, ragù, eggplant, cheese, olive oil, garlic, salt, black pepper","Pasta 'ncasciata is a traditional Sicily Italian baked pasta typically made with pasta, ragù, eggplant, cheese."
Pasta alla Genovese,La Genovese,Italian,Campania,Main Dish,Pasta,Beef Dish,Non-Veg,Main,Beef,5.8,Mild,1,6,2,1,9,3,6,1,5,2,4,6,2,,"pasta, onions, beef, wine, olive oil, garlic, parmesan cheese, salt, black pepper","Pasta alla Genovese is a traditional Campania Italian pasta typically made with pasta, onions, beef, wine."
Pasta alla Norma,,Italian,Sicily,Main Dish,Pasta,Vegetable Dish,Veg,Main,Vegetables,5.8,Mild,1,6,2,3,8,3,5,2,5,2,4,6,2,,"pasta, eggplant, tomato, ricotta salata, olive oil, garlic, parmesan cheese, salt, black pepper","Pasta alla Norma is a traditional Sicily Italian pasta typically made with pasta, eggplant, tomato, ricotta salata."
Pasta alla gricia,,Italian,Lazio,Main Dish,Pasta,Vegetable Dish,Non-Veg,Main,Vegetables,5.8,Medium,1,6,2,4,9,4,6,1,5,2,4,6,4,,"pasta, guanciale, pecorino, black pepper, olive oil, garlic, parmesan cheese, salt","Pasta alla gricia is a traditional Lazio Italian pasta typically made with pasta, guanciale, pecorino, black pepper."
Pasta con i tenerumi,,Italian,Sicily,Soup,Pasta and Greens Soup,Wheat Dish,Vegan,Soup,Wheat,5.5,Mild,1,6,2,2,7,2,3,2,4,1,2,6,1,,"pasta, zucchini leaves, tomato, garlic, olive oil, onion, celery, carrot, broth, parmesan rind","Pasta con i tenerumi is a traditional Sicily Italian soup or brothy dish made with pasta, zucchini leaves, tomato, garlic."
Pasta con le sarde,,Italian,Sicily,Main Dish,Pasta,Fish Dish,Pescatarian,Main,Fish,5.8,Mild,1,6,2,1,8,3,6,1,5,4,4,6,2,,"pasta, sardines, fennel, raisins, pine nuts, olive oil, garlic, parmesan cheese, salt, black pepper","Pasta con le sarde is a traditional Sicily Italian pasta typically made with pasta, sardines, fennel, raisins, pine nuts."
Pasta e fagioli,,Italian,Veneto,Soup,Bean Pasta Soup,Bean Dish,Vegan,Soup,Beans,5.5,Mild,1,6,2,2,7,2,5,2,4,1,2,6,1,,"beans, pasta, vegetables, olive oil, garlic, onion, celery, carrot, broth, parmesan rind","Pasta e fagioli is a traditional Veneto Italian soup or brothy dish made with beans, pasta, vegetables, olive oil."
Pasta e fagioli alla napoletana,,Italian,Campania,Soup,Bean Pasta Soup,Bean Dish,Vegan,Soup,Beans,5.5,Mild,1,6,2,1,8,2,3,2,4,1,2,6,3,,"beans, pasta, tomato, pancetta, olive oil, garlic, onion, celery, carrot, broth, parmesan rind","Pasta e fagioli alla napoletana is a traditional Campania Italian soup or brothy dish made with beans, pasta, tomato, pancetta."
Pasta e patate,,Italian,Campania,Main Dish,Pasta and Potato Dish,Cheese Dish,Veg,Main,Cheese,5.8,Mild,1,6,2,1,8,3,6,1,5,2,4,6,4,,"pasta, potatoes, provola, parmesan, olive oil, garlic, salt, black pepper","Pasta e patate is a traditional Campania Italian pasta and potato dish typically made with pasta, potatoes, provola, parmesan."
Pasta e patate ara tijeddra,,Italian,Calabria,Main Dish,Baked Pasta,Pork Dish,Non-Veg,Main,Pork,5.8,Mild,1,6,2,1,8,3,6,2,5,2,4,6,2,,"pasta, potatoes, tomato, sausage, olive oil, garlic, parmesan cheese, salt, black pepper","Pasta e patate ara tijeddra is a traditional Calabria Italian baked pasta typically made with pasta, potatoes, tomato, sausage."
Pasticciotto leccese,,Italian,Puglia,Dessert,Custard Tart,Milk Dish,Veg,Dessert,Milk,3.8,Low,8,3,1,1,1,1,7,1,6,2,2,5,1,,"pastry, custard, sugar, olive oil, garlic, salt, black pepper, parmesan","Pasticciotto leccese is a traditional Puglia Italian dessert typically prepared with pastry, custard, sugar."
Pastiera napoletana,,Italian,Campania,Dessert,Ricotta Wheat Pie,Egg Dish,Veg,Dessert,Egg,3.8,Low,8,4,1,1,1,1,6,1,5,2,2,5,2,,"ricotta, cooked wheat, eggs, orange blossom, olive oil, garlic, salt, black pepper, parmesan","Pastiera napoletana is a traditional Campania Italian dessert typically prepared with ricotta, cooked wheat, eggs, orange blossom."
Peperoni cruschi,,Italian,Basilicata,Appetizer,Crispy Pepper Dish,Vegetable Dish,Vegan,Appetizer,Vegetables,2.5,Medium,1,5,2,2,4,3,5,1,3,6,2,6,1,,"dried peppers, olive oil, salt, garlic, black pepper, parmesan","Peperoni cruschi is a traditional Basilicata Italian appetizer typically prepared with dried peppers, olive oil, salt."
Peposo dell'Impruneta,Peposo,Italian,Tuscany,Main Dish,Peppery Beef Stew,Beef Dish,Non-Veg,Soup,Beef,5.8,Medium,1,6,2,1,9,6,6,5,6,2,3,6,1,,"beef, red wine, black pepper, garlic, olive oil, onion, tomato, white wine, parsley","Peposo dell'Impruneta is a traditional Tuscany Italian peppery beef stew typically made with beef, red wine, black pepper, garlic."
Pesto alla trapanese,,Italian,Sicily,Appetizer,Tomato Pesto,Nut Dish,Vegan,Appetizer,Nuts,2.5,Mild,1,4,2,2,6,2,3,2,3,3,2,7,1,,"tomatoes, almonds, basil, garlic, olive oil, salt, black pepper, parmesan","Pesto alla trapanese is a traditional Sicily Italian appetizer typically prepared with tomatoes, almonds, basil, garlic."
Pettole,,Italian,Puglia,Appetizer,Fried Dough,Wheat Dish,Vegan,Appetizer,Wheat,2.5,Mild,1,4,2,1,4,2,6,1,3,7,3,5,1,,"flour, yeast, water, salt, olive oil, garlic, black pepper, parmesan","Pettole is a traditional Puglia Italian appetizer typically prepared with flour, yeast, water, salt."
Piadina romagnola,,Italian,Emilia-Romagna,Bread,Flatbread,Wheat Dish,Vegan,Side,Wheat,2.0,Low,1,4,1,1,3,1,5,1,3,3,4,4,1,,"flour, lard or oil, water, salt, olive oil, yeast","Piadina romagnola is a traditional Emilia-Romagna Italian bread or baked dough specialty made with flour, lard or oil, water, salt."
Pici all'aglione,,Italian,Tuscany,Main Dish,Pasta,Wheat Dish,Vegan,Main,Wheat,5.8,Mild,1,6,2,2,8,3,7,2,5,2,4,7,2,,"pici pasta, garlic, tomato, olive oil, parmesan cheese, salt, black pepper","Pici all'aglione is a traditional Tuscany Italian pasta typically made with pici pasta, garlic, tomato, olive oil."
Pisarei e fasö,,Italian,Emilia-Romagna,Appetizer,Bread Dumpling Pasta,Bean Dish,Vegan,Appetizer,Beans,5.3,Mild,1,4,2,1,5,2,3,2,3,3,5,5,2,,"bread dumplings, beans, tomato, pancetta, pasta, olive oil, garlic, parmesan cheese, salt, black pepper","Pisarei e fasö is a traditional Emilia-Romagna Italian bread dumpling pasta typically made with bread dumplings, beans, tomato, pancetta."
Pitta 'mpigliata,,Italian,Calabria,Dessert,Spiral Pastry,Nut Dish,Vegan,Dessert,Nuts,3.8,Low,8,2,1,1,1,1,6,1,5,4,2,5,1,,"pastry, nuts, raisins, honey, olive oil, garlic, salt, black pepper, parmesan","Pitta 'mpigliata is a traditional Calabria Italian dessert typically prepared with pastry, nuts, raisins, honey."
Pizza Margherita,,Italian,Campania,Main Dish,Pizza,Cheese Dish,Veg,Main,Cheese,7.5,Mild,1,6,2,1,9,3,6,2,5,5,7,7,2,,"pizza dough, tomato, mozzarella, basil, olive oil, garlic, salt, black pepper, parmesan","Pizza Margherita is a traditional Campania Italian pizza typically made with pizza dough, tomato, mozzarella, basil."
Pizza Marinara,,Italian,Campania,Main Dish,Pizza,Wheat Dish,Vegan,Main,Wheat,7.5,Mild,1,6,2,1,8,3,5,2,5,5,7,7,1,,"pizza dough, tomato, garlic, oregano, olive oil, salt, black pepper, parmesan","Pizza Marinara is a traditional Campania Italian pizza typically made with pizza dough, tomato, garlic, oregano."
Pizza bianca romana,,Italian,Lazio,Bread,Flatbread,Wheat Dish,Vegan,Side,Wheat,6.0,Low,1,4,1,2,3,1,5,1,3,5,7,4,1,,"flour, olive oil, yeast, salt, water","Pizza bianca romana is a traditional Lazio Italian bread or baked dough specialty made with flour, olive oil, yeast, salt."
Pizza di scarola,,Italian,Campania,Main Dish,Stuffed Pie,Fish Dish,Pescatarian,Main,Fish,7.0,Mild,1,8,2,2,9,3,5,1,5,5,6,6,5,,"scarole, olives, capers, anchovy, dough, olive oil, garlic, salt, black pepper, parmesan","Pizza di scarola is a traditional Campania Italian stuffed pie typically made with scarole, olives, capers, anchovy, dough."
Pizzoccheri,Pizzoccheri della Valtellina,Italian,Lombardy,Main Dish,Buckwheat Pasta,Cheese Dish,Veg,Main,Cheese,5.8,Mild,1,6,2,2,8,3,7,2,5,2,4,6,2,,"buckwheat pasta, potatoes, cabbage, cheese, olive oil, garlic, salt, black pepper","Pizzoccheri is a traditional Lombardy Italian buckwheat pasta typically made with buckwheat pasta, potatoes, cabbage, cheese."
Polenta,,Italian,Northern Italian,Side Dish,Cornmeal Porridge,Corn Dish,Vegan,Side,Corn,2.0,Low,1,4,1,1,3,1,3,1,4,2,3,4,1,,"cornmeal, water, salt, olive oil, garlic, black pepper, parmesan","Polenta is a traditional Northern Italian Italian side dish typically made with cornmeal, water, salt."
Polenta concia,,Italian,Aosta Valley,Side Dish,Cheesy Polenta,Corn Dish,Veg,Side,Corn,2.0,Low,1,4,1,1,5,1,6,1,3,2,2,4,1,,"polenta, fontina, butter, olive oil, garlic, salt, black pepper, parmesan","Polenta concia is a traditional Aosta Valley Italian side dish typically made with polenta, fontina, butter."
Polenta e osei,,Italian,Lombardy,Dessert,Marzipan Dessert,Corn Dish,Vegan,Dessert,Corn,3.8,Low,8,2,1,4,1,1,5,1,5,2,2,5,1,,"sponge cake, marzipan, chocolate, olive oil, garlic, salt, black pepper, parmesan","Polenta e osei is a traditional Lombardy Italian dessert typically prepared with sponge cake, marzipan, chocolate."
Polenta taragna,,Italian,Lombardy,Side Dish,Buckwheat Polenta,Cheese Dish,Veg,Side,Cheese,2.0,Low,1,4,1,1,5,1,6,2,3,2,2,4,2,,"cornmeal, buckwheat, butter, cheese, olive oil, garlic, salt, black pepper, parmesan","Polenta taragna is a traditional Lombardy Italian side dish typically made with cornmeal, buckwheat, butter, cheese."
Polpette al sugo,,Italian,Campania,Main Dish,Meatballs,Beef Dish,Non-Veg,Main,Beef,5.8,Mild,1,6,2,1,9,3,6,2,6,2,3,6,4,,"beef, pork, tomato sauce, parmesan, olive oil, garlic, salt, black pepper","Polpette al sugo is a traditional Campania Italian meatballs typically made with beef, pork, tomato sauce, parmesan."
Porceddu,Porchetto sardo,Italian,Sardinia,Main Dish,Roast Suckling Pig,Pork Dish,Non-Veg,Main,Pork,5.8,Mild,1,6,2,2,9,3,6,1,5,3,3,6,1,,"suckling pig, myrtle, rosemary, olive oil, garlic, salt, black pepper, parmesan","Porceddu is a traditional Sardinia Italian roast suckling pig typically made with suckling pig, myrtle, rosemary."
Porchetta di Ariccia,Porchetta,Italian,Lazio,Main Dish,Roast Pork,Pork Dish,Non-Veg,Main,Pork,5.8,Mild,1,6,2,2,9,3,6,1,5,3,3,8,1,,"pork, fennel, rosemary, garlic, olive oil, salt, black pepper, parmesan","Porchetta di Ariccia is a traditional Lazio Italian roast pork typically made with pork, fennel, rosemary, garlic."
Presnitz,,Italian,Friuli Venezia Giulia,Dessert,Pastry Roll,Nut Dish,Vegan,Dessert,Nuts,3.8,Low,8,2,1,1,1,1,6,1,5,4,2,5,1,,"pastry, nuts, raisins, spices, olive oil, garlic, salt, black pepper, parmesan","Presnitz is a traditional Friuli Venezia Giulia Italian dessert typically prepared with pastry, nuts, raisins, spices."
Puccia,,Italian,Puglia,Bread,Filled Bread,Wheat Dish,Vegan,Side,Wheat,2.0,Low,1,4,1,2,3,1,3,1,3,3,4,4,1,,"bread dough, olives, fillings, olive oil, garlic, salt, black pepper, parmesan","Puccia is a traditional Puglia Italian bread or baked dough specialty made with bread dough, olives, fillings."
Pumpkin risotto,Risotto alla zucca,Italian,Lombardy,Main Dish,Risotto,Cheese Dish,Veg,Main,Cheese,7.4,Mild,1,7,2,1,9,3,7,1,5,2,3,6,4,,"rice, pumpkin, butter, parmesan, broth, onion, white wine","Pumpkin risotto is a traditional Lombardy Italian risotto typically made with rice, pumpkin, butter, parmesan."
Puntarelle,,Italian,Lazio,Appetizer,Chicory Salad,Fish Dish,Pescatarian,Appetizer,Fish,2.5,Mild,1,5,3,2,6,2,5,1,3,3,2,6,5,,"puntarelle, anchovy, garlic, olive oil, salt, black pepper, parmesan","Puntarelle is a traditional Lazio Italian appetizer typically prepared with puntarelle, anchovy, garlic, olive oil."
Rabaton,,Italian,Piedmont,Appetizer,Ricotta Dumpling,Egg Dish,Veg,Appetizer,Egg,5.3,Mild,1,5,2,2,6,2,4,2,3,3,3,5,4,,"ricotta, spinach, egg, parmesan, olive oil, garlic, salt, black pepper","Rabaton is a traditional Piedmont Italian ricotta dumpling typically made with ricotta, spinach, egg, parmesan."
Radicchio risotto,,Italian,Veneto,Main Dish,Vegetable Risotto,Cheese Dish,Veg,Soup,Cheese,7.4,Mild,1,7,2,5,9,3,6,1,5,2,3,6,4,,"rice, radicchio, broth, parmesan, onion, white wine, butter","Radicchio risotto is a traditional Veneto Italian vegetable risotto typically made with rice, radicchio, broth, parmesan."
Rafanata,,Italian,Basilicata,Main Dish,Horseradish Omelette,Egg Dish,Veg,Main,Egg,5.8,Mild,1,6,2,2,7,3,6,1,5,2,3,6,2,,"eggs, horseradish, cheese, olive oil, garlic, salt, black pepper, parmesan","Rafanata is a traditional Basilicata Italian horseradish omelette typically made with eggs, horseradish, cheese."
Ragù alla Bolognese,Bolognese sauce,Italian,Emilia-Romagna,Main Dish,Meat Sauce Pasta,Beef Dish,Non-Veg,Main,Beef,5.8,Mild,1,6,2,1,10,3,6,2,6,2,4,6,2,,"beef, pork, tomato, soffritto, wine, pasta, olive oil, garlic, parmesan cheese, salt, black pepper","Ragù alla Bolognese is a traditional Emilia-Romagna Italian meat sauce pasta typically made with beef, pork, tomato, soffritto, wine."
Ravioli,,Italian,Northern Italian,Main Dish,Stuffed Pasta,Cheese Dish,Veg,Main,Cheese,5.8,Mild,1,6,2,2,8,3,6,2,5,2,4,6,4,,"pasta, ricotta, spinach, parmesan, olive oil, garlic, salt, black pepper","Ravioli is a traditional Northern Italian Italian stuffed pasta typically made with pasta, ricotta, spinach, parmesan."
Ravioli genovesi,,Italian,Liguria,Main Dish,Stuffed Pasta,Meat Dish,Non-Veg,Main,Mixed,5.8,Mild,1,6,2,1,8,3,6,1,5,2,4,6,2,,"pasta, meat filling, herbs, olive oil, garlic, parmesan cheese, salt, black pepper","Ravioli genovesi is a traditional Liguria Italian stuffed pasta typically made with pasta, meat filling, herbs."
Ribollita,,Italian,Tuscany,Soup,Bread and Vegetable Soup,Bean Dish,Vegan,Soup,Beans,2.7,Mild,1,6,2,4,7,2,3,3,4,1,2,6,1,,"bread, cannellini beans, kale, vegetables, olive oil, garlic, onion, celery, carrot, broth, parmesan rind","Ribollita is a traditional Tuscany Italian soup or brothy dish made with bread, cannellini beans, kale, vegetables."
Ricciarelli,,Italian,Tuscany,Dessert,Almond Cookie,Egg Dish,Veg,Dessert,Egg,3.8,Low,8,2,1,2,1,1,5,2,5,2,2,5,1,,"almonds, sugar, egg white, olive oil, garlic, salt, black pepper, parmesan","Ricciarelli is a traditional Tuscany Italian dessert typically prepared with almonds, sugar, egg white."
Rigatoni con la pajata,,Italian,Lazio,Main Dish,Pasta,Beef Dish,Non-Veg,Main,Beef,5.8,Mild,1,6,2,1,9,3,6,2,5,2,4,6,4,,"rigatoni, veal intestine, tomato, pecorino, pasta, olive oil, garlic, parmesan cheese, salt, black pepper","Rigatoni con la pajata is a traditional Lazio Italian pasta typically made with rigatoni, veal intestine, tomato, pecorino."
Risi e bisi,,Italian,Veneto,Main Dish,Rice and Peas,Rice Dish,Vegan,Soup,Rice,3.0,Mild,1,6,2,1,8,3,5,2,5,2,3,6,3,,"rice, peas, broth, pancetta, olive oil, garlic, salt, black pepper, parmesan","Risi e bisi is a traditional Veneto Italian rice and peas typically made with rice, peas, broth, pancetta."
Risotto al nero di seppia,,Italian,Veneto,Main Dish,Seafood Risotto,Rice Dish,Pescatarian,Main,Rice,7.4,Mild,1,6,2,1,9,3,5,1,5,2,3,6,1,,"rice, cuttlefish, ink, wine, broth, onion, butter, parmesan","Risotto al nero di seppia is a traditional Veneto Italian seafood risotto typically made with rice, cuttlefish, ink, wine."
Risotto al salto,,Italian,Lombardy,Main Dish,Crispy Rice Cake,Cheese Dish,Veg,Main,Cheese,7.0,Low,1,6,2,1,4,1,8,1,5,5,2,5,4,,"risotto, butter, parmesan, olive oil, garlic, salt, black pepper","Risotto al salto is a traditional Lombardy Italian crispy rice cake typically made with risotto, butter, parmesan."
Risotto alla milanese,Saffron risotto,Italian,Lombardy,Main Dish,Risotto,Cheese Dish,Veg,Soup,Cheese,7.4,Mild,1,7,2,1,9,3,7,1,5,2,3,6,4,,"rice, saffron, butter, broth, parmesan, onion, white wine","Risotto alla milanese is a traditional Lombardy Italian risotto typically made with rice, saffron, butter, broth, parmesan."
Risotto alla monzese,,Italian,Lombardy,Main Dish,Sausage Risotto,Pork Dish,Non-Veg,Main,Pork,7.4,Mild,1,6,2,1,9,3,6,1,5,2,3,6,4,,"rice, sausage, saffron, parmesan, broth, onion, white wine, butter","Risotto alla monzese is a traditional Lombardy Italian sausage risotto typically made with rice, sausage, saffron, parmesan."
Rustico leccese,,Italian,Puglia,Appetizer,Savory Pastry,Cheese Dish,Non-Veg,Appetizer,Cheese,3.7,Mild,1,6,2,1,7,2,6,2,3,3,2,5,2,,"puff pastry, béchamel, tomato, mozzarella, olive oil, garlic, salt, black pepper, parmesan","Rustico leccese is a traditional Puglia Italian appetizer typically prepared with puff pastry, béchamel, tomato, mozzarella."
Salama da sugo,,Italian,Emilia-Romagna,Main Dish,Stuffed Salami,Pork Dish,Non-Veg,Main,Pork,5.8,Mild,1,6,2,1,8,3,6,1,5,2,3,6,3,,"pork, wine, spices, olive oil, garlic, salt, black pepper, parmesan","Salama da sugo is a traditional Emilia-Romagna Italian stuffed salami typically made with pork, wine, spices."
Saltimbocca alla romana,,Italian,Lazio,Main Dish,Meat Cutlet,Beef Dish,Non-Veg,Main,Beef,5.8,Mild,1,6,2,1,8,3,6,1,5,2,3,6,3,,"veal, prosciutto, sage, white wine, olive oil, garlic, salt, black pepper, parmesan","Saltimbocca alla romana is a traditional Lazio Italian meat cutlet typically made with veal, prosciutto, sage, white wine."
Sarde a beccafico,,Italian,Sicily,Main Dish,Stuffed Sardines,Fish Dish,Pescatarian,Main,Fish,5.8,Mild,1,6,3,1,8,3,6,1,5,4,4,6,1,,"sardines, breadcrumbs, raisins, pine nuts, olive oil, garlic, salt, black pepper, parmesan","Sarde a beccafico is a traditional Sicily Italian stuffed sardines typically made with sardines, breadcrumbs, raisins, pine nuts."
Sarde in saor,,Italian,Veneto,Appetizer,Sweet-Sour Sardines,Fish Dish,Pescatarian,Appetizer,Fish,2.5,Mild,2,4,5,1,6,2,4,1,3,4,2,6,2,,"sardines, onions, vinegar, raisins, pine nuts, sugar, eggs, butter, flour, vanilla","Sarde in saor is a traditional Veneto Italian appetizer typically prepared with sardines, onions, vinegar, raisins, pine nuts."
Sardella,,Italian,Calabria,Appetizer,Fish Spread,Fish Dish,Pescatarian,Appetizer,Fish,2.5,Medium,1,4,3,1,6,4,3,1,4,3,2,6,1,,"baby fish, chili, fennel, olive oil, garlic, salt, black pepper, parmesan","Sardella is a traditional Calabria Italian appetizer typically prepared with baby fish, chili, fennel."
